County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10467,X020,Public School,No,203.0,0.0,203.0,0.0,"(40.869482, -73.878731)"
Bronx,10467,X041,Public School,No,64.0,0.0,64.0,0.0,"(40.874754, -73.867834)"
Bronx,10467,X056,Public School,No,133.0,0.0,133.0,0.0,"(40.875481, -73.874912)"
Bronx,10467,X080,Public School,No,130.0,0.0,130.0,0.0,"(40.876819, -73.881245)"
Bronx,10467,X094,Public School,No,50.0,0.0,50.0,0.0,"(40.880661, -73.875268)"
Bronx,10467,X096,Public School,No,187.0,0.0,187.0,0.0,"(40.86073, -73.868986)"
Bronx,10467,X113,Public School,No,76.0,0.0,76.0,0.0,"(40.880649, -73.860126)"
Bronx,10467,X135,Public School,No,100.0,0.0,100.0,0.0,"(40.862098, -73.865028)"
Bronx,10467,X177,Public School,Yes,141.0,0.0,141.0,0.0,"(40.872559, -73.875375)"
Bronx,10467,X361,Public School,No,114.0,0.0,114.0,0.0,"(40.880661, -73.875268)"
Bronx,10467,X373,Public School,No,31.0,0.0,31.0,0.0,"(40.881076, -73.870212)"
Bronx,10467,X425,Public School,No,150.0,0.0,150.0,0.0,"(40.875172, -73.861649)"
Bronx,10467,X852,Public School,No,28.0,0.0,28.0,0.0,"(40.885428, -73.878051)"
Bronx,10468,X033,Public School,No,52.0,0.0,52.0,0.0,"(40.861698, -73.901268)"
Bronx,10468,X086,Public School,No,82.0,0.0,82.0,0.0,"(40.869061, -73.897066)"
Bronx,10468,X115,Public School,No,62.0,0.0,62.0,0.0,"(40.859496, -73.900490)"
Bronx,10468,X206,Public School,No,33.0,0.0,33.0,0.0,"(40.859534, -73.906285)"
Bronx,10468,X340,Public School,No,118.0,0.0,118.0,0.0,"(40.869407, -73.897171)"
Bronx,10468,X430,Public School,No,188.0,0.0,188.0,0.0,"(40.869061, -73.897066)"
Bronx,10468,X431,Public School,No,1.0,0.0,1.0,0.0,"(40.869061, -73.897066)"
Bronx,10468,X440,Public School,No,142.0,0.0,142.0,0.0,"(40.879958, -73.889011)"
Bronx,10468,X441,Public School,No,24.0,0.0,24.0,0.0,"(40.879958, -73.889011)"
Bronx,10468,X445,Public School,No,157.0,0.0,157.0,0.0,"(40.879958, -73.889011)"
Bronx,10468,X779,Public School,No,61.0,0.0,61.0,0.0,"(40.873659, -73.900068)"
